1,diaochan,1234567890,貂蝉,21,2024-07-15 15:05:45
2,guanyu,13812345678,关羽,28,2024-07-15 15:06:12
3,zhangfei,13987654321,张飞,27,2024-07-15 15:07:33
4,zhaoyun,13711223344,赵云,25,2024-07-15 15:08:55
5,caocao,13655667788,曹操,30,2024-07-15 15:09:21
6,liubei,13599887766,刘备,32,2024-07-15 15:10:47
7,zhugeliang,13422334455,诸葛亮,29,2024-07-15 15:11:19
8,zhouyu,13366778899,周瑜,26,2024-07-15 15:12:35
9,xuchu,13244556677,许褚,28,2024-07-15 15:13:52
10,huangzhong,13177889900,黄忠,35,2024-07-15 15:14:28
11,machao,13055443322,马超,24,2024-07-15 15:15:44
12,dianwei,18812345678,典韦,27,2024-07-15 15:16:10
13,lvmeng,18987654321,吕蒙,26,2024-07-15 15:17:36
14,luoshen,18711223344,洛神,22,2024-07-15 15:18:58
15,guojia,18655667788,郭嘉,28,2024-07-15 15:19:24
16,chengyu,18599887766,程昱,31,2024-07-15 15:20:50
17,zoulang,18422334455,庞统,29,2024-07-15 15:21:16
18,lvbu,18366778899,吕布,27,2024-07-15 15:22:42
19,diaochan2,18244556677,貂蝉2,22,2024-07-15 15:23:08
20,yanliang,18177889900,颜良,29,2024-07-15 15:24:34
21,yuchong,18055443322,文丑,28,2024-07-15 15:25:00
22,zhangliao,17812345678,张辽,26,2024-07-15 15:26:26
23,xunyu,17787654321,荀彧,30,2024-07-15 15:27:52
24,zhanghe,17611223344,张郃,27,2024-07-15 15:28:18
25,gao顺,17555667788,高顺,25,2024-07-15 15:29:44
26,jiangwei,17499887766,姜维,24,2024-07-15 15:30:10
27,pangtong,17322334455,庞统,29,2024-07-15 15:31:36
28,taishiCI,17266778899,太史慈,26,2024-07-15 15:32:02
29,ganjiang,17144556677,甘宁,28,2024-07-15 15:33:28
30,zhenji,17077889900,甄姬,22,2024-07-15 15:34:54
31,huatuo,16855443322,华佗,38,2024-07-15 15:35:20
32,wangyue,16712345678,王越,30,2024-07-15 15:36:46
